"","infected.mean","infected.sd","prop_infected","conformist.informed.mean","conformist.informed.sd","conformist.prop_informed","bhs","modularity","qrel","avg_module_size","clustering","mean_degree","sd_degree","avg_path_length","chosenu","r_infected_mean","r_infected_sd","r_informed_mean","r_informed_sd","r_bhs"
"rhesusmacaque_association_weighted_1",26.84,1.95207895457585,0.958571428571429,27.06,4.66165425660926,0.966428571428571,0.169922377502188,0.213560060944786,0.322246877675615,9.33333333333333,1,27,0,25.1640211640212,0.721010230514753,27.04,2.08942917700368,24.74,8.22095381526092,0.38800300737747
"rhesusmacaque_dominance_weighted_1",61.52,1.26555626230572,0.992258064516129,61.26,5.23259018078046,0.988064516129032,0.392131589687238,0.186698851873559,0.294642851370017,20.6666666666667,0.659941974225761,37.6451612903226,7.46158857562648,1.7181385510312,0.76393202250021,59.96,8.79925785367778,60.2,8.90998064543581,0.000130918904474079
"rhesusmacaque_grooming_weighted_balasubramaniam_2",31.52,18.3138622638811,0.404102564102564,31.56,34.41058214075,0.404615384615385,0.0934790726831036,0.465795515206602,0.603636942495456,13,0.286775631500743,15.6923076923077,5.35325533272444,2.31934731934732,0.64789722764304,33.4,16.8825474429443,21.78,27.2054091260228,0.0878055156820657
"rhesusmacaque_huddeling_weighted_balasubramaniam_2",12.16,10.1244500984458,0.155897435897436,13.24,20.8194963572952,0.16974358974359,0.120574855827039,0.547879923175768,0.662155549200856,9.75,0.206962631747046,8.76923076923077,3.50851682476945,2.71761571761572,0.57823680569948,8.88,7.04979374426903,8.04,14.3952373076256,0.118552255625496
"sealion_proximity_weighted_1",984.58,141.797655488519,0.977735849056604,1007,0,1,Inf,0.38017853807815,0.578793183459296,335.666666666667,0.593866281392997,260.875868917577,137.495148960567,0.0202554484416939,0.999933893038648,1007,0,1007,0,NA
"sheep_dominance_weighted_1",21.14,6.65171452502654,0.755,19.86,11.3533416819428,0.709285714285714,0.0706595579642527,0.147267440249074,0.243955043517506,7,0.727788746298124,16.7857142857143,5.0358503114954,1.95238095238095,0.667551827287234,18.44,7.29036266279683,20.16,11.1398530749114,0.047826472122035
"spidermonkeys_contact_weighted_1",5.86,4.02548007024235,0.344705882352941,6.26,6.56151426027218,0.368235294117647,0.0581186838602401,0.271289510742592,0.411044713246351,4.25,0.7171875,8.47058823529412,4.24437343813583,15.8823529411765,0.497482353146788,6.66,3.83650563797371,6.2,6.58383921245881,0.0705351313689007
"voles_social_projection_bipartite_weighted_127",1.42,0.78480466827545,0.0546153846153846,3.56,2.85113654387803,0.136923076923077,0.46588504349615,0.248046875,0.459346064814815,3,0.454545454545455,1.92307692307692,0.890980445265862,3.15384615384615,0.244198596255573,1.56,1.07209503081678,3.52,3.30268907135395,0.345733207617906
"zebra_groupmembership_weighted_1",5.38,4.64182406088866,0.199259259259259,4.66,4.59196281006059,0.172592592592593,0.00306908200683088,0.203219954648526,0.767369808961403,7.66666666666667,0.844765342960289,8.22222222222222,4.85428702943105,1.84169884169884,0.441785591281659,6.7,4.59036257515989,4.88,7.66822226158458,0.0734915185391531
"desert_tortoise_asynchronous_burrow_sharing_unweighted_41",1.88,1.49338678232823,0.0783333333333333,2.3,2.38404560975409,0.0958333333333333,0.058385119729936,0.166666666666667,0.266666666666667,3.33333333333333,0.606382978723404,2.08333333333333,2.41222730680799,1.50980392156863,0.250323201180473,1.7,1.07380688416949,3.94,3.51329835142455,0.383696255099088
"lizard_proximity_weighted_1",13.06,9.6201531660767,0.217666666666667,14.58,16.2494458304251,0.243,0.0673825996061572,0.811131675850049,1.00333933226805,4.28571428571429,0.535356347438753,10.6,4.27527380429545,0.00400065244429377,0.560552999210098,16.88,9.34298820353684,6.84,11.6730283918414,0.125020451425312
